tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2008-500,Halle,Grass,32,A,20080609,031,103819,1,,Roger Federer,R,185,SUI,26.8364134155,1,6675,104259,,,Philipp Kohlschreiber,R,178,GER,24.6488706366,40,875,6-3 6-4,3,F,74,6,0,51,36,31,10,10,2,2,6,2,65,40,28,12,9,2,4
2008-500,Halle,Grass,32,A,20080609,025,103819,1,,Roger Federer,R,185,SUI,26.8364134155,1,6675,104571,5,,Marcos Baghdatis,R,183,CYP,22.9787816564,23,1190,6-4 6-4,3,QF,72,0,0,58,45,33,10,10,4,4,4,3,61,32,26,13,10,2,4
2008-540,Wimbledon,Grass,128,G,20080623,125,103819,1,,Roger Federer,R,185,SUI,26.8747433265,1,6900,103498,,,Marat Safin,R,193,RUS,28.4052019165,75,530,6-3 7-6(3) 6-4,5,SF,103,15,0,90,60,46,24,16,2,2,13,0,93,62,46,17,15,3,5
2008-540,Wimbledon,Grass,128,G,20080623,121,103819,1,,Roger Federer,R,185,SUI,26.8747433265,1,6900,104339,,,Mario Ancic,R,196,CRO,24.2327173169,43,845,6-1 7-5 6-4,5,QF,102,15,0,71,49,43,18,15,0,0,9,2,95,58,41,17,14,6,10
2008-540,Wimbledon,Grass,128,G,20080623,113,103819,1,,Roger Federer,R,185,SUI,26.8747433265,1,6900,103720,24,,Lleyton Hewitt,R,180,AUS,27.3264887064,27,1050,7-6(7) 6-2 6-4,5,R16,110,21,3,98,60,51,20,15,8,8,8,1,87,54,42,16,15,0,3
2008-540,Wimbledon,Grass,128,G,20080623,097,103819,1,,Roger Federer,R,185,SUI,26.8747433265,1,6900,102967,,,Marc Gicquel,R,188,FRA,31.2334017796,53,724,6-3 6-3 6-1,5,R32,82,10,1,68,49,41,11,13,2,3,5,1,82,55,35,7,12,7,13
2008-540,Wimbledon,Grass,128,G,20080623,127,104745,2,,Rafael Nadal,L,185,ESP,22.0561259411,2,5755,103819,1,,Roger Federer,R,185,SUI,26.8747433265,1,6900,6-4 6-4 6-7(5) 6-7(8) 9-7,5,F,288,6,3,218,160,111,34,30,12,13,25,2,195,127,92,39,30,9,13
2008-540,Wimbledon,Grass,128,G,20080623,001,103819,1,,Roger Federer,R,185,SUI,26.8747433265,1,6900,103103,,,Dominik Hrbaty,R,183,SVK,30.4668035592,273,136,6-3 6-2 6-2,5,R128,80,10,0,78,54,42,15,13,0,0,2,7,69,39,24,12,12,6,11
2008-540,Wimbledon,Grass,128,G,20080623,065,103819,1,,Roger Federer,R,185,SUI,26.8747433265,1,6900,104417,,,Robin Soderling,R,193,SWE,23.8576317591,41,855,6-3 6-4 7-6(3),5,R64,121,15,0,96,58,47,22,16,3,4,6,5,114,63,44,25,15,5,8
2008-421,Canada Masters,Hard,56,M,20080721,025,104468,,,Gilles Simon,R,183,FRA,23.5646817248,22,1205,103819,1,,Roger Federer,R,185,SUI,26.9514031485,1,6600,2-6 7-5 6-4,3,R32,122,0,0,86,51,34,18,15,5,10,6,1,91,48,30,21,15,7,12
2008-422,Cincinnati Masters,Hard,56,M,20080728,041,103333,16,,Ivo Karlovic,R,208,CRO,29.4127310062,22,1110,103819,1,,Roger Federer,R,185,SUI,26.970568104,1,6605,7-6(6) 4-6 7-6(5),3,R16,130,22,1,110,78,62,22,17,2,3,6,0,97,66,58,22,17,2,2
2008-422,Cincinnati Masters,Hard,56,M,20080728,025,103819,1,,Roger Federer,R,185,SUI,26.970568104,1,6605,104068,,,Robby Ginepri,R,183,USA,25.8069815195,64,665,6-7(2) 7-6(5) 6-0,3,R32,133,21,2,94,60,50,16,15,3,6,7,4,130,79,51,21,15,10,16
2008-96,Beijing Olympics,Hard,64,A,20080811,057,103484,8,,James Blake,R,185,USA,28.6214921287,7,2020,103819,1,,Roger Federer,R,185,SUI,27.0088980151,1,6330,6-4 7-6(2),3,QF,91,2,2,65,36,27,20,11,0,1,3,2,89,48,33,19,11,4,6
2008-96,Beijing Olympics,Hard,64,A,20080811,033,103819,1,,Roger Federer,R,185,SUI,27.0088980151,1,6330,104763,,WC,Rafael Arevalo,U,,ESA,22.1054072553,447,62,6-2 6-4,3,R32,77,7,0,47,27,21,16,9,1,1,0,2,59,45,26,8,9,7,10
2008-96,Beijing Olympics,Hard,64,A,20080811,001,103819,1,,Roger Federer,R,185,SUI,27.0088980151,1,6330,104098,,,Dmitry Tursunov,R,185,RUS,25.6646132786,29,998,6-4 6-2,3,R64,66,5,0,52,32,28,12,9,2,2,3,4,46,17,14,13,9,3,6
2008-96,Beijing Olympics,Hard,64,A,20080811,049,103819,1,,Roger Federer,R,185,SUI,27.0088980151,1,6330,104607,17,,Tomas Berdych,R,196,CZE,22.8993839836,20,1235,6-3 7-6(4),3,R16,90,11,3,61,37,32,12,11,1,3,4,4,75,33,20,22,10,6,9
2008-560,US Open,Hard,128,G,20080825,096,103819,2,,Roger Federer,R,185,SUI,27.0472279261,2,5930,103999,,Q,Thiago Alves,R,178,BRA,26.2614647502,137,343,6-3 7-5 6-4,5,R64,134,19,2,95,61,49,19,16,2,3,2,2,125,68,41,30,15,11,15
2008-560,US Open,Hard,128,G,20080825,064,103819,2,,Roger Federer,R,185,SUI,27.0472279261,2,5930,104216,,,Maximo Gonzalez,R,175,ARG,25.1006160164,118,416,6-3 6-0 6-3,5,R128,82,14,1,76,57,42,10,12,6,7,1,3,75,50,28,8,12,6,13
2008-560,US Open,Hard,128,G,20080825,126,103819,2,,Roger Federer,R,185,SUI,27.0472279261,2,5930,104925,3,,Novak Djokovic,R,188,SRB,21.2621492129,3,5105,6-3 5-7 7-5 6-2,5,SF,164,20,1,125,80,61,27,21,2,4,6,5,124,80,57,20,20,7,12
2008-560,US Open,Hard,128,G,20080825,120,103819,2,,Roger Federer,R,185,SUI,27.0472279261,2,5930,104214,23,,Igor Andreev,R,185,RUS,25.1170431211,23,1145,6-7(5) 7-6(5) 6-3 3-6 6-3,5,R16,211,10,5,168,114,86,31,26,13,15,8,7,165,100,78,32,25,4,7
2008-560,US Open,Hard,128,G,20080825,112,103819,2,,Roger Federer,R,185,SUI,27.0472279261,2,5930,103285,28,,Radek Stepanek,R,185,CZE,29.7440109514,30,1006,6-3 6-3 6-2,5,R32,96,12,3,76,55,41,14,13,1,2,1,5,86,57,36,9,13,5,11
2008-560,US Open,Hard,128,G,20080825,127,103819,2,,Roger Federer,R,185,SUI,27.0472279261,2,5930,104918,6,,Andy Murray,R,190,GBR,21.2813141684,6,2415,6-2 7-5 6-2,5,F,111,3,0,81,47,37,16,14,3,5,3,3,81,45,23,17,14,3,10
2008-560,US Open,Hard,128,G,20080825,124,103819,2,,Roger Federer,R,185,SUI,27.0472279261,2,5930,104180,,Q,Gilles Muller,L,193,LUX,25.2977412731,130,371,7-6(5) 6-4 7-6(5),5,QF,144,8,0,103,63,54,26,17,2,2,16,4,121,76,59,25,17,10,11
2008-D077,Davis Cup WG PO: SUI vs BEL,Hard,4,D,20080919,2,103819,,,Roger Federer,R,185,SUI,27.1047227926,2,5930,104019,,,Kristof Vliegen,R,193,BEL,26.2340862423,95,501,7-6(1) 6-4 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2008-1536,Madrid Masters,Hard,48,M,20081012,044,103819,2,,Roger Federer,R,185,SUI,27.1813826146,2,5930,105223,9,,Juan Martin Del Potro,R,198,ARG,20.0547570157,9,1685,6-3 6-3,3,QF,86,3,0,53,37,29,9,9,1,1,12,4,68,41,30,8,9,6,9
2008-1536,Madrid Masters,Hard,48,M,20081012,040,103819,2,,Roger Federer,R,185,SUI,27.1813826146,2,5930,104542,16,,Jo Wilfried Tsonga,R,188,FRA,23.4907597536,15,1410,6-4 6-1,3,R16,63,9,1,50,31,25,13,9,4,4,3,5,50,24,18,11,8,5,8
2008-1536,Madrid Masters,Hard,48,M,20081012,032,103819,2,,Roger Federer,R,185,SUI,27.1813826146,2,5930,103285,,,Radek Stepanek,R,185,CZE,29.87816564,30,1065,6-3 7-6(6),3,R32,87,10,1,65,40,37,15,11,0,0,9,4,63,32,27,16,10,2,3
2008-1536,Madrid Masters,Hard,48,M,20081012,046,104918,4,,Andy Murray,R,190,GBR,21.4154688569,4,2995,103819,2,,Roger Federer,R,185,SUI,27.1813826146,2,5930,3-6 6-3 7-5,3,SF,117,14,2,86,53,45,17,15,2,3,7,1,98,65,46,18,15,7,9
2008-328,Basel,Hard,32,A,20081020,031,103819,1,,Roger Federer,R,185,SUI,27.2005475702,2,5805,103900,2,,David Nalbandian,R,180,ARG,26.8008213552,8,1750,6-3 6-4,3,F,70,8,0,47,30,26,14,10,0,0,5,3,61,41,27,10,9,6,8
2008-328,Basel,Hard,32,A,20081020,029,103819,1,,Roger Federer,R,185,SUI,27.2005475702,2,5805,103852,,,Feliciano Lopez,L,188,ESP,27.0828199863,39,865,6-3 6-2,3,SF,61,15,2,54,31,28,12,9,2,2,5,2,52,25,18,11,8,1,4
2008-328,Basel,Hard,32,A,20081020,001,103819,1,,Roger Federer,R,185,SUI,27.2005475702,2,5805,104035,,,Bobby Reynolds,R,183,USA,26.2614647502,86,527,6-3 6-7(6) 6-3,3,R32,110,17,2,89,53,44,24,16,0,0,15,1,95,58,46,18,14,10,12
2008-328,Basel,Hard,32,A,20081020,025,103819,1,,Roger Federer,R,185,SUI,27.2005475702,2,5805,104620,,,Simone Bolelli,R,183,ITA,23.0335386721,42,838,6-2 6-3,3,QF,67,8,1,56,39,33,8,9,1,1,3,3,47,29,18,8,8,3,6
2008-328,Basel,Hard,32,A,20081020,017,103819,1,,Roger Federer,R,185,SUI,27.2005475702,2,5805,103813,,,Jarkko Nieminen,L,185,FIN,27.2443531828,29,1060,7-6(6) 7-6(1),3,R16,96,11,0,89,64,44,14,12,5,8,1,2,78,50,31,18,12,2,5
2008-352,Paris Masters,Hard,48,M,20081026,032,103819,2,,Roger Federer,R,185,SUI,27.2197125257,2,5805,104417,,,Robin Soderling,R,193,SWE,24.2026009582,18,1290,6-4 7-6(7),3,R32,75,10,0,60,42,38,12,11,0,0,5,1,68,44,34,13,11,1,2
2008-352,Paris Masters,Hard,48,M,20081026,040,103819,2,,Roger Federer,R,185,SUI,27.2197125257,2,5805,105227,,,Marin Cilic,R,198,CRO,20.0793976728,25,1125,6-3 6-4,3,R16,71,4,0,61,37,26,16,10,1,2,7,3,59,34,24,9,9,3,6
2008-352,Paris Masters,Hard,48,M,20081026,044,103484,11,,James Blake,R,185,USA,28.8323066393,11,1625,103819,2,,Roger Federer,R,185,SUI,27.2197125257,2,5805,W/O,3,QF,,,,,,,,,,,,,,,,,,,
2008-605,Masters Cup,Hard,8,F,20081109,014,104918,,,Andy Murray,R,190,GBR,21.492128679,4,3420,103819,,,Roger Federer,R,185,SUI,27.2580424367,2,5205,4-6 7-6(3) 7-5,3,RR,181,7,3,112,63,44,21,17,8,14,11,3,131,68,40,31,17,12,18
2008-605,Masters Cup,Hard,8,F,20081109,015,103819,,,Roger Federer,R,185,SUI,27.2580424367,2,5205,103285,,,Radek Stepanek,R,185,CZE,29.954825462,27,1130,7-6(4) 6-4,3,RR,101,6,1,74,47,32,16,11,1,3,4,3,77,46,32,13,11,2,5
2008-605,Masters Cup,Hard,8,F,20081109,010,104468,,,Gilles Simon,R,183,FRA,23.871321013,9,1780,103819,,,Roger Federer,R,185,SUI,27.2580424367,2,5205,4-6 6-4 6-3,3,RR,128,7,3,101,55,38,27,15,8,10,3,2,91,47,35,21,14,9,12
2009-451,Doha,Hard,32,A,20090105,016,103819,2,,Roger Federer,R,185,SUI,27.4113620808,2,10610,103808,,,Potito Starace,R,188,ITA,27.4798083504,71,1128,6-2 6-2,3,R32,49,5,1,39,25,22,10,8,0,0,4,1,49,33,20,5,8,1,5
2009-451,Doha,Hard,32,A,20090105,030,104918,3,,Andy Murray,R,190,GBR,21.6454483231,4,7050,103819,2,,Roger Federer,R,185,SUI,27.4113620808,2,10610,6-7(6) 6-2 6-2,3,SF,125,7,1,87,57,49,15,14,3,3,7,4,95,61,42,18,14,2,6
2009-451,Doha,Hard,32,A,20090105,028,103819,2,,Roger Federer,R,185,SUI,27.4113620808,2,10610,104259,8,,Philipp Kohlschreiber,R,178,GER,25.2238193018,28,2160,6-2 7-6(6),3,QF,86,4,0,60,42,29,11,10,1,3,1,2,74,54,33,6,10,3,7
2009-451,Doha,Hard,32,A,20090105,024,103819,2,,Roger Federer,R,185,SUI,27.4113620808,2,10610,104312,,,Andreas Seppi,R,190,ITA,24.8733744011,34,1820,6-3 6-3,3,R16,80,4,2,66,38,27,16,9,3,4,0,3,65,40,25,10,9,6,10
2009-580,Australian Open,Hard,128,G,20090119,096,103819,2,,Roger Federer,R,185,SUI,27.4496919918,2,10700,105095,,Q,Evgeny Korolev,R,185,KAZ,20.9308692676,118,808,6-2 6-3 6-1,5,R64,85,8,3,68,41,28,20,12,0,1,2,3,80,41,22,17,12,5,12
2009-580,Australian Open,Hard,128,G,20090119,127,104745,1,,Rafael Nadal,L,185,ESP,22.6310746064,1,13160,103819,2,,Roger Federer,R,185,SUI,27.4496919918,2,10700,7-5 3-6 7-6(3) 3-6 6-2,5,F,259,4,4,175,112,74,30,24,13,19,11,6,172,89,65,38,26,9,16
2009-580,Australian Open,Hard,128,G,20090119,064,103819,2,,Roger Federer,R,185,SUI,27.4496919918,2,10700,104312,,,Andreas Seppi,R,190,ITA,24.9117043121,35,1820,6-1 7-6(4) 7-5,5,R128,280,9,5,115,76,56,23,16,10,10,1,6,109,70,48,18,15,7,10
2009-580,Australian Open,Hard,128,G,20090119,112,103819,2,,Roger Federer,R,185,SUI,27.4496919918,2,10700,103498,26,,Marat Safin,R,193,RUS,28.9801505818,27,2050,6-3 6-2 7-6(5),5,R32,110,9,1,89,54,46,22,15,0,0,14,2,88,44,30,24,14,1,4
2009-580,Australian Open,Hard,128,G,20090119,124,103819,2,,Roger Federer,R,185,SUI,27.4496919918,2,10700,105223,8,,Juan Martin Del Potro,R,198,ARG,20.3230663929,6,4060,6-3 6-0 6-0,5,QF,80,12,0,53,37,32,12,11,0,0,5,2,66,39,18,9,10,4,11
2009-580,Australian Open,Hard,128,G,20090119,126,103819,2,,Roger Federer,R,185,SUI,27.4496919918,2,10700,104053,7,,Andy Roddick,R,188,USA,26.3901437372,9,3940,6-2 7-5 7-5,5,SF,125,16,0,96,63,52,19,16,3,3,8,2,94,61,43,17,16,9,13
2009-580,Australian Open,Hard,128,G,20090119,120,103819,2,,Roger Federer,R,185,SUI,27.4496919918,2,10700,104607,20,,Tomas Berdych,R,196,CZE,23.3401779603,21,2400,4-6 6-7(4) 6-4 6-4 6-2,5,R16,205,20,5,159,108,76,24,25,7,12,7,2,151,93,65,27,25,4,12
2009-404,Indian Wells Masters,Hard,96,M,20090312,080,103819,2,,Roger Federer,R,185,SUI,27.5838466804,2,11000,103333,27,,Ivo Karlovic,R,208,CRO,30.0260095825,28,1880,7-6(4) 6-3,3,R32,74,1,2,59,36,34,15,11,0,0,13,2,61,37,30,13,10,1,2
2009-404,Indian Wells Masters,Hard,96,M,20090312,088,103819,2,,Roger Federer,R,185,SUI,27.5838466804,2,11000,103602,17,,Fernando Gonzalez,R,183,CHI,28.6105407255,17,2650,6-3 5-7 6-2,3,R16,110,3,3,86,44,36,25,15,1,2,6,2,86,47,35,20,14,2,5
2009-404,Indian Wells Masters,Hard,96,M,20090312,094,104918,4,,Andy Murray,R,190,GBR,21.8179329227,4,7400,103819,2,,Roger Federer,R,185,SUI,27.5838466804,2,11000,6-3 4-6 6-1,3,SF,108,6,3,82,49,35,19,13,8,10,3,0,74,42,27,15,13,1,6
2009-404,Indian Wells Masters,Hard,96,M,20090312,064,103819,2,,Roger Federer,R,185,SUI,27.5838466804,2,11000,102967,,,Marc Gicquel,R,188,FRA,31.9425051335,52,1248,7-6(4) 6-4,3,R64,84,12,2,59,36,33,15,11,0,0,8,3,88,52,36,20,11,2,3
2009-404,Indian Wells Masters,Hard,96,M,20090312,092,103819,2,,Roger Federer,R,185,SUI,27.5838466804,2,11000,104269,10,,Fernando Verdasco,L,188,ESP,25.3141683778,10,3330,6-3 7-6(5),3,QF,92,4,3,67,42,32,10,10,5,7,2,4,77,61,35,10,11,4,8
2009-403,Miami Masters,Hard,96,M,20090325,080,103819,2,,Roger Federer,R,185,SUI,27.6221765914,2,10910,103017,28,,Nicolas Kiefer,R,183,GER,31.7152635181,29,1755,6-4 6-1,3,R32,71,5,1,44,35,26,6,8,0,0,5,3,59,32,24,7,9,2,6
2009-403,Miami Masters,Hard,96,M,20090325,088,103819,2,,Roger Federer,R,185,SUI,27.6221765914,2,10910,103758,,Q,Taylor Dent,R,188,USA,27.9123887748,467,115,6-3 6-2,3,R16,86,5,4,68,41,34,13,9,8,8,3,5,81,45,30,15,8,8,11
2009-403,Miami Masters,Hard,96,M,20090325,064,103819,2,,Roger Federer,R,185,SUI,27.6221765914,2,10910,103240,,Q,Kevin Kim,R,180,USA,30.6584531143,107,825,6-3 6-2,3,R64,65,4,1,58,35,27,13,9,5,5,5,2,62,29,24,11,8,2,5
2009-403,Miami Masters,Hard,96,M,20090325,094,104925,3,,Novak Djokovic,R,188,SRB,21.8370978782,3,8420,103819,2,,Roger Federer,R,185,SUI,27.6221765914,2,10910,3-6 6-2 6-3,3,SF,106,4,4,73,51,35,12,13,2,6,4,4,80,48,28,13,13,4,10
2009-403,Miami Masters,Hard,96,M,20090325,092,103819,2,,Roger Federer,R,185,SUI,27.6221765914,2,10910,104053,5,,Andy Roddick,R,188,USA,26.5626283368,6,4610,6-3 4-6 6-4,3,QF,123,7,5,80,51,36,20,14,2,3,6,4,101,71,48,16,15,4,7
2009-410,Monte Carlo Masters,Clay,56,M,20090412,040,103819,2,,Roger Federer,R,185,SUI,27.6796714579,2,11020,104312,,,Andreas Seppi,R,190,ITA,25.1416837782,40,1495,6-4 6-4,3,R32,83,4,0,64,30,26,20,10,3,3,1,4,65,35,24,17,10,3,5
2009-410,Monte Carlo Masters,Clay,56,M,20090412,048,104527,13,,Stanislas Wawrinka,R,183,SUI,24.0438056126,16,2620,103819,2,,Roger Federer,R,185,SUI,27.6796714579,2,11020,6-4 7-5,3,R16,110,0,1,77,48,33,17,11,3,4,2,1,85,44,29,21,11,11,14
2009-416,Rome Masters,Clay,56,M,20090427,054,104925,3,,Novak Djokovic,R,188,SRB,21.9329226557,3,9160,103819,2,,Roger Federer,R,185,SUI,27.7180013689,2,10060,4-6 6-3 6-3,3,SF,131,3,6,100,50,32,28,14,8,11,6,3,81,40,29,17,14,3,8
2009-416,Rome Masters,Clay,56,M,20090427,040,103819,2,,Roger Federer,R,185,SUI,27.7180013689,2,10060,103333,,,Ivo Karlovic,R,208,CRO,30.160164271,24,1830,6-4 6-4,3,R32,69,1,2,58,33,25,18,10,3,3,15,4,53,34,27,8,10,2,4
2009-416,Rome Masters,Clay,56,M,20090427,052,103819,2,,Roger Federer,R,185,SUI,27.7180013689,2,10060,104999,,Q,Mischa Zverev,L,190,GER,21.6810403833,76,960,7-6(3) 6-2,3,QF,88,2,0,55,36,31,13,10,0,0,4,1,83,54,37,12,10,8,10
2009-416,Rome Masters,Clay,56,M,20090427,048,103819,2,,Roger Federer,R,185,SUI,27.7180013689,2,10060,103285,16,,Radek Stepanek,R,185,CZE,30.4147843943,19,2450,6-4 6-1,3,R16,68,5,2,49,21,18,17,9,4,5,1,2,53,28,17,11,8,3,7
2009-1536,Madrid Masters,Clay,56,M,20090510,052,103819,2,,Roger Federer,R,185,SUI,27.7563312799,2,10170,104053,6,,Andy Roddick,R,188,USA,26.6967830253,6,4040,7-5 6-7(5) 6-1,3,QF,131,15,2,97,56,49,20,16,2,3,9,1,91,61,42,16,15,5,9
2009-1536,Madrid Masters,Clay,56,M,20090510,040,103819,2,,Roger Federer,R,185,SUI,27.7563312799,2,10170,104417,,,Robin Soderling,R,193,SWE,24.7392197125,23,1880,6-1 7-5,3,R32,70,11,1,54,27,23,17,10,0,1,4,5,57,34,21,9,9,3,7
2009-1536,Madrid Masters,Clay,56,M,20090510,054,103819,2,,Roger Federer,R,185,SUI,27.7563312799,2,10170,105223,5,,Juan Martin Del Potro,R,198,ARG,20.629705681,5,4720,6-3 6-4,3,SF,81,8,1,60,39,32,11,10,4,4,3,2,59,35,25,11,9,4,6
2009-1536,Madrid Masters,Clay,56,M,20090510,048,103819,2,,Roger Federer,R,185,SUI,27.7563312799,2,10170,103484,14,,James Blake,R,185,USA,29.3689253936,16,2370,6-2 6-4,3,R16,62,5,0,54,31,27,13,9,1,1,1,5,54,28,17,16,9,1,4
2009-1536,Madrid Masters,Clay,56,M,20090510,055,103819,2,,Roger Federer,R,185,SUI,27.7563312799,2,10170,104745,1,,Rafael Nadal,L,185,ESP,22.9377138946,1,15360,6-4 6-4,3,F,86,6,3,67,42,29,17,10,4,4,1,1,54,43,32,5,10,0,2
2009-520,Roland Garros,Clay,128,G,20090525,064,103819,2,,Roger Federer,R,185,SUI,27.794661191,2,10470,103252,,,Alberto Martin,R,175,ESP,30.7624914442,98,795,6-4 6-3 6-2,5,R128,103,10,0,75,51,40,16,14,0,1,0,3,87,56,34,13,13,5,10
2009-520,Roland Garros,Clay,128,G,20090525,127,103819,2,,Roger Federer,R,185,SUI,27.794661191,2,10470,104417,23,,Robin Soderling,R,193,SWE,24.7775496235,25,1775,6-1 7-6(1) 6-4,5,F,115,16,2,79,52,44,18,14,2,2,2,3,91,55,35,20,15,2,6
2009-520,Roland Garros,Clay,128,G,20090525,124,103819,2,,Roger Federer,R,185,SUI,27.794661191,2,10470,104792,11,,Gael Monfils,R,193,FRA,22.7296372348,10,3150,7-6(6) 6-2 6-4,5,QF,130,8,1,94,54,43,26,15,4,4,7,1,105,61,41,22,15,2,5
2009-520,Roland Garros,Clay,128,G,20090525,126,103819,2,,Roger Federer,R,185,SUI,27.794661191,2,10470,105223,5,,Juan Martin Del Potro,R,198,ARG,20.6680355921,5,4830,3-6 7-6(2) 2-6 6-1 6-4,5,SF,209,5,1,142,92,67,26,24,8,13,16,6,168,98,72,30,22,8,12
2009-520,Roland Garros,Clay,128,G,20090525,096,103819,2,,Roger Federer,R,185,SUI,27.794661191,2,10470,104076,,,Jose Acasuso,R,190,ARG,26.5954825462,45,1210,7-6(8) 5-7 7-6(2) 6-2,5,R64,205,11,0,142,101,75,22,22,5,10,5,2,154,96,59,31,22,6,12
2009-520,Roland Garros,Clay,128,G,20090525,112,103819,2,,Roger Federer,R,185,SUI,27.794661191,2,10470,103908,32,,Paul Henri Mathieu,R,185,FRA,27.3648186174,35,1490,4-6 6-1 6-4 6-4,5,R32,166,14,3,110,65,53,22,19,5,7,8,3,126,75,49,24,18,11,16
2009-520,Roland Garros,Clay,128,G,20090525,120,103819,2,,Roger Federer,R,185,SUI,27.794661191,2,10470,103163,,,Tommy Haas,R,188,GER,31.1430527036,63,1015,6-7(4) 5-7 6-4 6-0 6-2,5,R16,187,16,1,130,82,70,29,24,3,5,11,3,145,93,63,28,24,8,15
2009-540,Wimbledon,Grass,128,G,20090622,112,103819,2,,Roger Federer,R,185,SUI,27.871321013,2,10620,104259,27,,Philipp Kohlschreiber,R,178,GER,25.6837782341,32,1540,6-3 6-2 6-7(5) 6-1,5,R32,151,15,2,126,87,66,20,19,5,7,5,4,126,81,50,20,17,15,22
2009-540,Wimbledon,Grass,128,G,20090622,064,103819,2,,Roger Federer,R,185,SUI,27.871321013,2,10620,104229,,,Yen Hsun Lu,R,180,TPE,25.8562628337,65,932,7-5 6-3 6-2,5,R128,105,10,1,75,53,45,15,15,2,3,3,1,93,64,40,13,14,6,11
2009-540,Wimbledon,Grass,128,G,20090622,120,103819,2,,Roger Federer,R,185,SUI,27.871321013,2,10620,104417,13,,Robin Soderling,R,193,SWE,24.8542094456,12,2825,6-4 7-6(5) 7-6(5),5,R16,119,23,0,102,68,60,21,17,2,2,16,3,98,55,50,26,17,3,4
2009-540,Wimbledon,Grass,128,G,20090622,126,103819,2,,Roger Federer,R,185,SUI,27.871321013,2,10620,103163,24,,Tommy Haas,R,188,GER,31.2197125257,34,1405,7-6(3) 7-5 6-3,5,SF,123,11,1,83,62,55,17,17,0,0,11,5,110,72,53,17,16,6,8
2009-540,Wimbledon,Grass,128,G,20090622,127,103819,2,,Roger Federer,R,185,SUI,27.871321013,2,10620,104053,6,,Andy Roddick,R,188,USA,26.8117727584,6,4310,5-7 7-6(6) 7-6(5) 3-6 16-14,5,F,256,50,4,197,127,113,42,37,3,5,27,4,239,169,140,31,38,6,7
2009-540,Wimbledon,Grass,128,G,20090622,096,103819,2,,Roger Federer,R,185,SUI,27.871321013,2,10620,104198,,,Guillermo Garcia Lopez,R,188,ESP,26.0506502396,42,1186,6-2 6-2 6-4,5,R64,90,11,2,75,48,44,13,13,2,2,3,6,74,55,35,9,13,2,7
2009-540,Wimbledon,Grass,128,G,20090622,124,103819,2,,Roger Federer,R,185,SUI,27.871321013,2,10620,103333,22,,Ivo Karlovic,R,208,CRO,30.3134839151,36,1295,6-3 7-5 7-6(3),5,QF,103,7,2,85,53,50,24,17,0,0,23,2,82,57,46,15,16,0,2
2009-421,Canada Masters,Hard,56,M,20090810,049,104542,7,,Jo Wilfried Tsonga,R,188,FRA,24.3148528405,7,3650,103819,1,,Roger Federer,R,185,SUI,28.0054757016,1,11060,7-6(5) 1-6 7-6(3),3,QF,139,11,6,96,50,39,25,15,6,10,9,2,101,58,45,26,16,3,5
2009-421,Canada Masters,Hard,56,M,20090810,041,103819,1,,Roger Federer,R,185,SUI,28.0054757016,1,11060,104527,,,Stanislas Wawrinka,R,183,SUI,24.3696098563,22,1795,6-3 7-6(5),3,R16,106,4,0,75,49,35,16,11,6,7,11,2,77,46,32,15,10,6,8
2009-421,Canada Masters,Hard,56,M,20090810,025,103819,1,,Roger Federer,R,185,SUI,28.0054757016,1,11060,102780,,WC,Frederic Niemeyer,R,190,CAN,33.2950034223,487,81,7-6(3) 6-4,3,R32,86,12,1,65,46,40,11,11,1,1,6,5,72,34,28,21,11,5,6
2009-422,Cincinnati Masters,Hard,56,M,20090816,055,103819,1,,Roger Federer,R,185,SUI,28.0246406571,1,11040,104925,4,,Novak Djokovic,R,188,SRB,22.2395619439,4,7150,6-1 7-5,3,F,127,7,0,60,33,28,15,10,3,4,3,1,81,55,33,9,9,11,15
2009-422,Cincinnati Masters,Hard,56,M,20090816,041,103819,1,,Roger Federer,R,185,SUI,28.0246406571,1,11040,103970,,,David Ferrer,R,175,ESP,27.3757700205,19,1890,3-6 6-3 6-4,3,R16,102,6,2,85,53,40,15,14,4,7,3,2,76,52,36,14,14,5,9
2009-422,Cincinnati Masters,Hard,56,M,20090816,049,103819,1,,Roger Federer,R,185,SUI,28.0246406571,1,11040,103720,,,Lleyton Hewitt,R,180,AUS,28.476386037,42,1105,6-3 6-4,3,QF,70,11,1,51,27,24,16,10,0,0,2,3,65,32,22,16,9,3,5
2009-422,Cincinnati Masters,Hard,56,M,20090816,025,103819,1,,Roger Federer,R,185,SUI,28.0246406571,1,11040,104076,,,Jose Acasuso,R,190,ARG,26.8254620123,51,931,6-3 7-5,3,R32,70,14,2,58,40,35,11,11,1,1,11,3,60,30,23,15,10,4,6
